,rank,name,net_worth (in billion $),age,country / territory,source,industry
0,1,Bernard Arnault & family,211.0,74.0,France,LVMH,Fashion & Retail
1,2,Elon Musk,180.0,51.0,United States,"Tesla, SpaceX",Automotive
2,3,Jeff Bezos,114.0,59.0,United States,Amazon,Technology
3,4,Larry Ellison,107.0,78.0,United States,Oracle,Technology
4,5,Warren Buffett,106.0,92.0,United States,Berkshire Hathaway,Finance & Investments
5,6,Bill Gates,104.0,67.0,United States,Microsoft,Technology
6,7,Michael Bloomberg,94.5,81.0,United States,Bloomberg LP,Media & Entertainment
7,8,Carlos Slim Helu & family,93.0,83.0,Mexico,Telecom,Telecom
8,9,Mukesh Ambani,83.4,65.0,India,Diversified,Diversified
9,10,Steve Ballmer,80.7,67.0,United States,Microsoft,Technology
10,11,Francoise Bettencourt Meyers & family,80.5,69.0,France,L'Oréal,Fashion & Retail
11,12,Larry Page,79.2,50.0,United States,Google,Technology
12,13,Amancio Ortega,77.3,87.0,Spain,Zara,Fashion & Retail
13,14,Sergey Brin,76.0,49.0,United States,Google,Technology
14,15,Zhong Shanshan,68.0,68.0,China,"Beverages, pharmaceuticals",Food & Beverage
15,16,Mark Zuckerberg,64.4,38.0,United States,Facebook,Technology
16,17,Charles Koch,59.0,87.0,United States,Koch Industries,Diversified
17,17,Julia Koch & family,59.0,60.0,United States,Koch Industries,Diversified
18,19,Jim Walton,58.8,74.0,United States,Walmart,Fashion & Retail
19,20,Rob Walton,57.6,78.0,United States,Walmart,Fashion & Retail
20,21,Alice Walton,56.7,73.0,United States,Walmart,Fashion & Retail
21,22,David Thomson & family,54.4,65.0,Canada,Media,Media & Entertainment
22,23,Michael Dell,50.1,58.0,United States,Dell Technologies,Technology
23,24,Gautam Adani,47.2,60.0,India,"Infrastructure, commodities",Diversified
24,25,Phil Knight & family,45.1,85.0,United States,Nike,Fashion & Retail
25,26,Zhang Yiming,45.0,39.0,China,TikTok,Technology
26,27,Dieter Schwarz,42.9,83.0,Germany,Retail,Fashion & Retail
27,28,François Pinault & family,40.1,86.0,France,Luxury goods,Fashion & Retail
28,29,Klaus-Michael Kuehne,39.1,85.0,Germany,Shipping,Logistics
29,30,Giovanni Ferrero,38.9,58.0,Italy,"Nutella, chocolates",Food & Beverage
30,31,Jacqueline Mars,38.3,83.0,United States,"Candy, pet food",Food & Beverage
31,31,John Mars,38.3,87.0,United States,"Candy, pet food",Food & Beverage
